ticker,Name,sector,cik10
PLTR,PALANTIR TECHNOLOGIES INC CLASS A,Information Technology,0001321655
PM,PHILIP MORRIS INTERNATIONAL INC,Consumer Staples,0001413329
PNC,PNC FINANCIAL SERVICES GROUP INC,Financials,0000713676
PNFP,PINNACLE FINANCIAL PARTNERS INC,Financials,0002082866
PNR,PENTAIR,Industrials,0000077360
PNW,PINNACLE WEST CORP,Utilities,0000764622
PODD,INSULET CORP,Health Care,0001145197
POST,POST HOLDINGS INC,Consumer Staples,0001530950
PPC,PILGRIMS PRIDE CORP,Consumer Staples,0000802481
PPG,PPG INDUSTRIES INC,Materials,0000079879
PR,PERMIAN RESOURCES CORP CLASS A,Energy,0001658566
PRI,PRIMERICA INC,Financials,0001475922
PRMB,PRIMO BRANDS CLASS A CORP,Consumer Staples,0002042694
PRU,PRUDENTIAL FINANCIAL INC,Financials,0001137774
PSA,PUBLIC STORAGE REIT,Real Estate,0001393311
PSN,PARSONS CORP,Industrials,0000275880
PSX,PHILLIPS 66,Energy,0001534701
PTC,PTC INC,Information Technology,0000857005
PWR,QUANTA SERVICES INC,Industrials,0001050915
QCOM,QUALCOMM INC,Information Technology,0000804328
QGEN,QIAGEN NV,Health Care,0001015820
QRVO,QORVO INC,Information Technology,0001604778
QSR,RESTAURANTS BRANDS INTERNATIONAL I,Consumer Discretionary,0001618756
R,RYDER SYSTEM INC,Industrials,0000085961
RBA,RB GLOBAL INC,Industrials,0001046102
RBC,RBC BEARINGS INC,Industrials,0001324948
RBRK,RUBRIK INC CLASS A,Information Technology,0001943896
RCL,ROYAL CARIBBEAN GROUP LTD,Consumer Discretionary,0000884887
REG,REGENCY CENTERS REIT CORP,Real Estate,0000910606
REXR,REXFORD INDUSTRIAL REALTY REIT INC,Real Estate,0001571283
REYN,REYNOLDS CONSUMER PRODUCTS INC,Consumer Staples,0001786431
RGLD,ROYAL GOLD INC,Materials,0000085535
RITM,RITHM CAPITAL CORP,Financials,0001556593
RJF,RAYMOND JAMES INC,Financials,0000720005
RKLB,ROCKET LAB CORP,Industrials,0001819994
RL,RALPH LAUREN CORP CLASS A,Consumer Discretionary,0001037038
RLI,RLI CORP,Financials,0000084246
RMD,RESMED INC,Health Care,0000943819
RNR,RENAISSANCERE HOLDING LTD,Financials,0000913144
ROIV,ROIVANT SCIENCES LTD,Health Care,0001635088
ROK,ROCKWELL AUTOMATION INC,Industrials,0001024478
ROL,ROLLINS INC,Industrials,0000084839
ROP,ROPER TECHNOLOGIES INC,Information Technology,0000882835
ROST,ROSS STORES INC,Consumer Discretionary,0000745732
RPM,RPM INTERNATIONAL INC,Materials,0000110621
RRC,RANGE RESOURCES CORP,Energy,0000315852
RRX,REGAL REXNORD CORP,Industrials,0000082811
RS,RELIANCE STEEL & ALUMINUM,Materials,0000861884
RSG,REPUBLIC SERVICES INC,Industrials,0001060391
RTX,RTX CORP,Industrials,0000101829
RVMD,REVOLUTION MEDICINES INC,Health Care,0001628171
RYN,RAYONIER REIT INC,Real Estate,0000052827
SAIA,SAIA INC,Industrials,0001177702
SAIC,SCIENCE APPLICATIONS INTERNATIONAL,Industrials,0001571123
SARO,STANDARDAERO,Industrials,0002025410
SBAC,SBA COMMUNICATIONS REIT CORP CLASS,Real Estate,0001034054
SBUX,STARBUCKS CORP,Consumer Discretionary,0000829224
SCCO,SOUTHERN COPPER CORP,Materials,0001001838
SCHW,CHARLES SCHWAB CORP,Financials,0000316709
SCI,SERVICE,Consumer Discretionary,0000089089
SEB,SEABOARD CORP,Consumer Staples,0000088121
SEIC,SEI INVESTMENTS,Financials,0000350894
SFD,SMITHFIELD FOODS INC,Consumer Staples,0000091388
SFM,SPROUTS FARMERS MARKET INC,Consumer Staples,0001575515
SHC,SOTERA HEALTH COMPANY,Health Care,0001822479
SHW,SHERWIN WILLIAMS,Materials,0000089800
SITE,SITEONE LANDSCAPE SUPPLY INC,Industrials,0001650729
SJM,JM SMUCKER,Consumer Staples,0000091419
SLB,SLB NV,Energy,0000087347
SLGN,SILGAN HOLDINGS INC,Materials,0000849869
SLM,SLM CORP,Financials,0001032033
SMMT,SUMMIT THERAPEUTICS INC,Health Care,0001599298
SN,SHARKNINJA INC,Consumer Discretionary,0001957132
SNA,SNAP ON INC,Industrials,0000091440
SNDK,SANDISK CORP,Information Technology,0002023554
SNPS,SYNOPSYS INC,Information Technology,0000883241
SNX,TD SYNNEX CORP,Information Technology,0001177394
SO,SOUTHERN,Utilities,0000092122
SOFI,SOFI TECHNOLOGIES INC,Financials,0001818874
SOLV,SOLVENTUM CORP,Health Care,0001964738
SON,SONOCO PRODUCTS,Materials,0000091767
SPG,SIMON PROPERTY GROUP REIT INC,Real Estate,0001063761
SPGI,S&P GLOBAL INC,Financials,0000064040
SRE,SEMPRA,Utilities,0001032208
SSB,SOUTHSTATE BANK CORP,Financials,0000764038
SSD,SIMPSON MANUFACTURING INC,Industrials,0000920371
SSNC,SS AND C TECHNOLOGIES HOLDINGS INC,Industrials,0001402436
STAG,STAG INDUSTRIAL REIT INC,Real Estate,0001479094
STE,STERIS,Health Care,0001757898
STLD,STEEL DYNAMICS INC,Materials,0001022671
STT,STATE STREET CORP,Financials,0000093751
SUI,SUN COMMUNITIES REIT INC,Real Estate,0000912593
SW,SMURFIT WESTROCK PLC,Materials,0002005951
SYF,SYNCHRONY FINANCIAL,Financials,0001601712
SYK,STRYKER CORP,Health Care,0000310764
SYY,SYSCO CORP,Consumer Staples,0000096021
T,AT&T INC,Communication,0000732717
TDG,TRANSDIGM GROUP INC,Industrials,0001260221
TDY,TELEDYNE TECHNOLOGIES INC,Information Technology,0001094285
TECH,BIO TECHNE CORP,Health Care,0000842023
TER,TERADYNE INC,Information Technology,0000097210
TFC,TRUIST FINANCIAL CORP,Financials,0000092230
TGT,TARGET CORP,Consumer Staples,0000027419
THC,TENET HEALTHCARE CORP,Health Care,0000070318
THG,HANOVER INSURANCE GROUP INC,Financials,0000944695
THO,THOR INDUSTRIES INC,Consumer Discretionary,0000730263
TJX,TJX INC,Consumer Discretionary,0000109198
TKR,TIMKEN,Industrials,0000098362
TLN,TALEN ENERGY CORP,Utilities,0001622536
TMO,THERMO FISHER SCIENTIFIC INC,Health Care,0000097745
TMUS,T MOBILE US INC,Communication,0001283699
TNL,TRAVEL LEISURE,Consumer Discretionary,0001361658
TOST,TOAST INC CLASS A,Financials,0001650164
TPL,TEXAS PACIFIC LAND CORP,Energy,0001811074
TPR,TAPESTRY INC,Consumer Discretionary,0001116132
TRGP,TARGA RESOURCES CORP,Energy,0001389170
TRMB,TRIMBLE INC,Information Technology,0000864749
TROW,T ROWE PRICE GROUP INC,Financials,0001113169
TRU,TRANSUNION,Industrials,0001552033
TRV,TRAVELERS COMPANIES INC,Financials,0000086312
TSCO,TRACTOR SUPPLY,Consumer Discretionary,0000916365
TSLA,TESLA INC,Consumer Discretionary,0001318605
TT,TRANE TECHNOLOGIES PLC,Industrials,0001466258
TTC,TORO,Industrials,0000737758
TTEK,TETRA TECH INC,Industrials,0000831641
TTWO,TAKE TWO INTERACTIVE SOFTWARE INC,Communication,0000946581
TXN,TEXAS INSTRUMENT INC,Information Technology,0000097476
TXRH,TEXAS ROADHOUSE INC,Consumer Discretionary,0001289460
TXT,TEXTRON INC,Industrials,0000217346
TYL,TYLER TECHNOLOGIES INC,Information Technology,0000860731
UAL,UNITED AIRLINES HOLDINGS INC,Industrials,0000100517
UBER,UBER TECHNOLOGIES INC,Industrials,0001543151
UDR,UDR REIT INC,Real Estate,0000074208
UHS,UNIVERSAL HEALTH SERVICES INC CLAS,Health Care,0000352915
UI,UBIQUITI INC,Information Technology,0001511737
ULTA,ULTA BEAUTY INC,Consumer Discretionary,0001403568
UNH,UNITEDHEALTH GROUP INC,Health Care,0000731766
UNM,UNUM,Financials,0000005513
UNP,UNION PACIFIC CORP,Industrials,0000100885
URI,UNITED RENTALS INC,Industrials,0001067701
USB,US BANCORP,Financials,0000036104
USFD,US FOODS HOLDING CORP,Consumer Staples,0001665918
UTHR,UNITED THERAPEUTICS CORP,Health Care,0001082554
VEEV,VEEVA SYSTEMS INC CLASS A,Health Care,0001393052
VICI,VICI PPTYS INC,Real Estate,0001705696
VLO,VALERO ENERGY CORP,Energy,0001035002
VLTO,VERALTO CORP,Industrials,0001967680
VMC,VULCAN MATERIALS,Materials,0001396009
VMI,VALMONT INDS INC,Industrials,0000102729
VNOM,VIPER ENERGY INC CLASS A,Energy,0002074176
VNT,VONTIER CORP,Information Technology,0001786842
VOYA,VOYA FINANCIAL INC,Financials,0001535929
VRSK,VERISK ANALYTICS INC,Industrials,0001442145
VRSN,VERISIGN INC,Information Technology,0001014473
VRT,VERTIV HOLDINGS CLASS A,Industrials,0001674101
VRTX,VERTEX PHARMACEUTICALS INC,Health Care,0000875320
VST,VISTRA CORP,Utilities,0001692819
VTR,VENTAS REIT INC,Real Estate,0000740260
VVV,VALVOLINE INC,Consumer Discretionary,0001674910
VZ,VERIZON COMMUNICATIONS INC,Communication,0000732712
WAB,WESTINGHOUSE AIR BRAKE TECHNOLOGIE,Industrials,0000943452
WAL,WESTERN ALLIANCE,Financials,0001212545
WAT,WATERS CORP,Health Care,0001000697
WBS,WEBSTER FINANCIAL CORP,Financials,0000801337
WCC,WESCO INTERNATIONAL INC,Industrials,0000929008
WDAY,WORKDAY INC CLASS A,Information Technology,0001327811
WDC,WESTERN DIGITAL CORP,Information Technology,0000106040
WEC,WEC ENERGY GROUP INC,Utilities,0000783325
WELL,WELLTOWER INC,Real Estate,0000766704
WEX,WEX INC,Financials,0001309108
WFC,WELLS FARGO,Financials,0000072971
WH,WYNDHAM HOTELS RESORTS INC,Consumer Discretionary,0001722684
WLK,WESTLAKE CORP,Materials,0001262823
WM,WASTE MANAGEMENT INC,Industrials,0000823768
WMB,WILLIAMS INC,Energy,0000107263
WMS,ADVANCED DRAINAGE SYSTEMS INC,Industrials,0001604028
WMT,WALMART INC,Consumer Staples,0000104169
WPC,W. P. CAREY REIT INC,Real Estate,0001025378
WRB,WR BERKLEY CORP,Financials,0000011544
WSM,WILLIAMS SONOMA INC,Consumer Discretionary,0000719955
WSO,WATSCO INC,Industrials,0000105016
WST,WEST PHARMACEUTICAL SERVICES INC,Health Care,0000105770
WTM,WHITE MOUNTAINS INSURANCE GROUP LT,Financials,0000776867
WTW,WILLIS TOWERS WATSON PLC,Financials,0001140536
WU,WESTERN UNION,Financials,0001365135
WWD,WOODWARD INC,Industrials,0000108312
WY,WEYERHAEUSER REIT,Real Estate,0000106535
WYNN,WYNN RESORTS LTD,Consumer Discretionary,0001174922
XEL,XCEL ENERGY INC,Utilities,0000072903
XOM,EXXON MOBIL CORP,Energy,0000034088
XPO,XPO INC,Industrials,0001166003
XYL,XYLEM INC,Industrials,0001524472
YUM,YUM BRANDS INC,Consumer Discretionary,0001041061
ZBH,ZIMMER BIOMET HOLDINGS INC,Health Care,0001136869
ZION,ZIONS BANCORPORATION,Financials,0000109380
ZTS,ZOETIS INC CLASS A,Health Care,0001555280
